Pokemon,Collected,Collected_Shadow,Collected_Purified
Bulbasaur,YES,YES,NO
Ivysaur,YES,YES,NO
Venusaur,YES,NO,NO
Venusaur Mega Venusaur,NO,NO,NO
Charmander,YES,YES,NO
Charmeleon,YES,NO,NO
Charizard,YES,NO,NO
Charizard Mega Charizard X,NO,NO,NO
Charizard Mega Charizard Y,NO,NO,NO
Squirtle,YES,NO,NO
Wartortle,YES,YES,NO
Blastoise,YES,NO,NO
Blastoise Mega Blastoise,NO,NO,NO
Caterpie,NO,NO,NO
Metapod,NO,NO,NO
Butterfree,YES,NO,NO
Weedle,NO,NO,NO
Kakuna,NO,NO,NO
Beedrill,YES,NO,NO
Beedrill Mega Beedrill,NO,NO,NO
Pidgey,YES,YES,YES
Pidgeotto,YES,YES,NO
Pidgeot,YES,NO,NO
Pidgeot Mega Pidgeot,NO,NO,NO
Rattata,YES,NO,NO
Rattata Alolan Form,YES,NO,NO
Raticate,YES,NO,NO
Raticate Alolan Form,YES,YES,NO
Spearow,YES,NO,NO
Fearow,YES,NO,NO
Ekans,YES,NO,NO
Arbok,YES,NO,NO
Pikachu,YES,NO,NO
Raichu,NO,NO,NO
Raichu Alolan Form,NO,NO,NO
Sandshrew,YES,NO,NO
Sandshrew Alolan Form,YES,YES,NO
Sandslash,YES,NO,NO
Sandslash Alolan Form,NO,YES,NO
Nidoran Female,YES,NO,NO
Nidorina,YES,NO,NO
Nidoqueen,YES,NO,NO
Nidoran Male,YES,NO,NO
Nidorino,YES,NO,NO
Nidoking,YES,NO,NO
Clefairy,YES,NO,NO
Clefable,YES,NO,NO
Vulpix,YES,YES,NO
Vulpix Alolan Form,YES,YES,NO
Ninetales,YES,NO,NO
Ninetales Alolan Form,YES,YES,NO
Jigglypuff,YES,NO,NO
Wigglytuff,YES,NO,NO
Zubat,YES,YES,YES
Golbat,YES,NO,NO
Oddish,YES,YES,NO
Gloom,YES,NO,NO
Vileplume,YES,NO,NO
Paras,YES,NO,NO
Parasect,YES,NO,NO
Venonat,YES,NO,NO
Venomoth,YES,NO,NO
Diglett,YES,NO,NO
Diglett Alolan Form,YES,YES,YES
Dugtrio,YES,NO,NO
Dugtrio Alolan Form,YES,NO,NO
Meowth,YES,YES,YES
Meowth Alolan Form,YES,NO,NO
Meowth Galarian Form,YES,NO,NO
Persian,YES,NO,NO
Persian Alolan Form,YES,NO,NO
Psyduck,YES,YES,NO
Golduck,NO,NO,NO
Mankey,YES,NO,NO
Primeape,YES,NO,NO
Growlithe,YES,NO,NO
Growlithe Hisuian Form,YES,NO,NO
Arcanine,YES,NO,NO
Arcanine Hisuian Form,YES,NO,NO
Poliwag,YES,NO,NO
Poliwhirl,YES,NO,NO
Poliwrath,YES,NO,NO
Abra,YES,YES,NO
Kadabra,YES,YES,NO
Alakazam,YES,NO,NO
Alakazam Mega Alakazam,NO,NO,NO
Machop,YES,YES,NO
Machoke,YES,NO,NO
Machamp,YES,NO,NO
Bellsprout,YES,NO,NO
Weepinbell,YES,NO,NO
Victreebel,YES,NO,NO
Tentacool,YES,YES,NO
Tentacruel,YES,NO,NO
Geodude,YES,YES,NO
Geodude Alolan Form,YES,NO,NO
Graveler,YES,YES,NO
Graveler Alolan Form,YES,YES,NO
Golem,YES,NO,NO
Golem Alolan Form,YES,NO,NO
Ponyta,YES,NO,NO
Ponyta Galarian Form,YES,NO,NO
Rapidash,YES,NO,NO
Rapidash Galarian Form,YES,NO,NO
Slowpoke,YES,NO,NO
Slowbro,YES,NO,NO
Slowbro Mega Slowbro,NO,NO,NO
Slowbro Galarian Form,YES,NO,NO
Magnemite,YES,YES,NO
Magneton,YES,NO,NO
Farfetch'd,YES,NO,NO
Farfetch'd Galarian Form,NO,NO,NO
Doduo,YES,NO,NO
Dodrio,YES,NO,NO
Seel,YES,NO,NO
Dewgong,YES,NO,NO
