Pokemon,Collected,Collected_Shadow,Collected_Purified
Grimer,YES,YES,NO
Grimer Alolan Form,YES,YES,NO
Muk,YES,NO,NO
Muk Alolan Form,NO,NO,NO
Shellder,YES,YES,NO
Cloyster,YES,YES,NO
Gastly,YES,YES,NO
Haunter,YES,NO,NO
Gengar,YES,NO,NO
Gengar Mega Gengar,NO,NO,NO
Onix,YES,YES,NO
Drowzee,YES,NO,NO
Hypno,YES,NO,NO
Krabby,YES,NO,NO
Kingler,YES,NO,NO
Voltorb,YES,YES,NO
Voltorb Hisuian Form,YES,NO,NO
Electrode,YES,NO,NO
Electrode Hisuian Form,YES,NO,NO
Exeggcute,YES,NO,NO
Exeggutor,YES,NO,NO
Exeggutor Alolan Form,NO,NO,NO
Cubone,YES,NO,NO
Marowak,YES,NO,NO
Marowak Alolan Form,NO,NO,NO
Hitmonlee,YES,NO,NO
Hitmonchan,YES,NO,NO
Lickitung,YES,NO,NO
Koffing,YES,NO,NO
Weezing,YES,NO,NO
Weezing Galarian Form,NO,NO,NO
Rhyhorn,YES,NO,NO
Rhydon,YES,NO,NO
Chansey,YES,NO,NO
Tangela,YES,NO,NO
Kangaskhan,NO,NO,NO
Kangaskhan Mega Kangaskhan,NO,NO,NO
Horsea,YES,NO,NO
Seadra,YES,NO,NO
Goldeen,YES,NO,NO
Seaking,YES,NO,NO
Staryu,YES,NO,NO
Starmie,YES,NO,NO
Mr. Mime,NO,NO,NO
Mr. Mime Galarian Form,NO,NO,NO
Scyther,NO,NO,NO
Jynx,NO,NO,NO
Electabuzz,YES,NO,NO
Magmar,NO,NO,NO
Pinsir,NO,NO,NO
Pinsir Mega Pinsir,NO,NO,NO
Tauros,NO,NO,NO
Magikarp,NO,NO,NO
Gyarados,YES,NO,NO
Gyarados Mega Gyarados,NO,NO,NO
Lapras,NO,NO,NO
Ditto,YES,NO,NO
Eevee,YES,NO,NO
Vaporeon,YES,NO,NO
Jolteon,YES,NO,NO
Flareon,NO,NO,NO
Porygon,YES,NO,NO
Omanyte,YES,NO,NO
Omastar,NO,NO,NO
Kabuto,YES,NO,NO
Kabutops,YES,NO,NO
Aerodactyl,YES,NO,NO
Aerodactyl Mega Aerodactyl,NO,NO,NO
Snorlax,NO,NO,NO
Articuno,NO,NO,NO
Articuno Galarian Form,NO,NO,NO
Zapdos,NO,NO,NO
Zapdos Galarian Form,NO,NO,NO
Moltres,NO,NO,NO
Moltres Galarian Form,NO,NO,NO
Dratini,YES,YES,NO
Dragonair,YES,NO,NO
Dragonite,NO,NO,NO
Mewtwo,NO,NO,NO
Mewtwo Armored Mewtwo,NO,NO,NO
Mewtwo Mega Mewtwo X,NO,NO,NO
Mewtwo Mega Mewtwo Y,NO,NO,NO
Mew,NO,NO,NO
Chikorita,YES,YES,NO
Bayleef,YES,NO,NO
Meganium,YES,NO,NO
Cyndaquil,YES,NO,NO
Quilava,YES,NO,NO
Typhlosion,YES,NO,NO
Typhlosion Hisuian Form,NO,NO,NO
Totodile,YES,YES,NO
Croconaw,YES,NO,NO
Feraligatr,YES,NO,NO
Sentret,YES,NO,NO
Furret,YES,NO,NO
Hoothoot,NO,NO,NO
Noctowl,YES,NO,NO
Ledyba,YES,YES,YES
Ledian,YES,NO,NO
Spinarak,YES,NO,NO
Ariados,YES,NO,NO
Crobat,YES,NO,NO
Chinchou,YES,NO,NO
Lanturn,YES,NO,NO
Pichu,YES,NO,NO
Cleffa,YES,NO,NO
Igglybuff,YES,NO,NO
Togepi,YES,NO,NO
Togetic,YES,NO,NO
Natu,YES,YES,NO
Xatu,YES,YES,NO
Mareep,YES,YES,NO
Flaaffy,YES,YES,NO
Ampharos,YES,NO,NO
Ampharos Mega Ampharos,NO,NO,NO
Bellossom,YES,NO,NO
Marill,YES,NO,NO
Azumarill,YES,NO,NO
Sudowoodo,YES,NO,NO
Politoed,YES,NO,NO
Hoppip,YES,YES,YES
Skiploom,YES,NO,NO
Jumpluff,YES,NO,NO
Aipom,YES,NO,NO
Sunkern,NO,NO,NO
Sunflora,YES,NO,NO
Yanma,YES,NO,NO
Wooper,YES,YES,YES
Wooper Paldean Form,YES,NO,NO
Quagsire,YES,YES,NO
Espeon,YES,NO,NO
Umbreon,YES,NO,NO
Murkrow,YES,NO,NO
Slowking,YES,NO,NO
Slowking Galarian Form,YES,NO,NO
Misdreavus,YES,NO,NO
Unown,NO,NO,NO
Wobbuffet,YES,YES,NO
Girafarig,NO,NO,NO
Pineco,YES,YES,NO
Forretress,YES,NO,NO
Dunsparce,YES,NO,NO
Gligar,NO,NO,NO
Steelix,YES,NO,NO
Steelix Mega Steelix,NO,NO,NO
Snubbull,YES,NO,NO
Granbull,YES,NO,NO
Qwilfish,NO,NO,NO
Qwilfish Hisuian Form,NO,NO,NO
Scizor,YES,NO,NO
Scizor Mega Scizor,NO,NO,NO
Shuckle,NO,NO,NO
Heracross,NO,NO,NO
Sneasel,NO,NO,NO
Sneasel Hisuian Form,NO,NO,NO
Teddiursa,YES,YES,NO
Ursaring,YES,NO,NO
Slugma,YES,NO,NO
Magcargo,YES,NO,NO
Swinub,YES,YES,YES
Piloswine,YES,YES,NO
Corsola,YES,NO,NO
Remoraid,YES,NO,NO
Octillery,YES,NO,NO
Delibird,YES,YES,NO
Mantine,YES,NO,NO
Skarmory,YES,NO,NO
Skarmory Mega Skarmory,NO,NO,NO
Houndour,YES,NO,NO
Houndoom,YES,NO,NO
Houndoom Mega Houndoom,NO,NO,NO
Kingdra,NO,NO,NO
Phanpy,YES,NO,NO
Donphan,YES,NO,NO
Porygon2,YES,NO,NO
Stantler,YES,NO,NO
Smeargle,NO,NO,NO
Tyrogue,YES,NO,NO
Hitmontop,YES,NO,NO
Smoochum,NO,NO,NO
Elekid,NO,NO,NO
Magby,NO,NO,NO
Miltank,NO,NO,NO
Blissey,YES,NO,NO
Raikou,NO,NO,NO
Entei,NO,NO,NO
Suicune,NO,NO,NO
Larvitar,YES,YES,NO
Pupitar,NO,NO,NO
Tyranitar,NO,NO,NO
Tyranitar Mega Tyranitar,NO,NO,NO
Lugia,NO,NO,NO
Ho-Oh,NO,NO,NO
Celebi,NO,NO,NO
Treecko,YES,YES,NO
Grovyle,YES,NO,NO
Sceptile,YES,NO,NO
Sceptile Mega Sceptile,NO,NO,NO
Torchic,YES,YES,NO
Combusken,YES,YES,NO
Blaziken,YES,NO,NO
Blaziken Mega Blaziken,NO,NO,NO
Mudkip,YES,YES,NO
Marshtomp,NO,YES,NO
Swampert,YES,NO,NO
Swampert Mega Swampert,NO,NO,NO
Poochyena,YES,NO,NO
Mightyena,YES,NO,NO
Zigzagoon,YES,NO,NO
Zigzagoon Galarian Form,YES,NO,YES
Linoone,YES,NO,NO
Linoone Galarian Form,YES,NO,NO
Wurmple,YES,NO,NO
Silcoon,YES,NO,NO
Beautifly,YES,NO,NO
Cascoon,YES,NO,NO
Dustox,YES,NO,NO
Lotad,YES,NO,NO
Lombre,YES,NO,NO
Ludicolo,YES,NO,NO
Seedot,YES,YES,YES
Nuzleaf,YES,NO,NO
Shiftry,YES,NO,NO
Taillow,YES,YES,YES
Swellow,YES,NO,NO
Wingull,YES,NO,NO
Pelipper,YES,NO,NO
Ralts,YES,YES,YES
Kirlia,YES,YES,NO
Gardevoir,YES,NO,NO
Gardevoir Mega Gardevoir,NO,NO,NO
Surskit,YES,NO,NO
Masquerain,YES,NO,NO
Shroomish,YES,NO,NO
Breloom,YES,NO,NO
Slakoth,YES,NO,NO
Vigoroth,YES,YES,NO
Slaking,YES,NO,NO
Nincada,YES,NO,NO
Ninjask,YES,NO,NO
Shedinja,NO,NO,NO
Whismur,YES,YES,YES
Loudred,YES,NO,NO
Exploud,YES,NO,NO
Makuhita,YES,YES,NO
Hariyama,YES,NO,NO
Azurill,NO,NO,NO
Nosepass,YES,NO,NO
Skitty,YES,NO,NO
Delcatty,YES,NO,NO
Sableye,YES,NO,NO
Sableye Mega Sableye,NO,NO,NO
Mawile,NO,NO,NO
Aron,YES,YES,NO
Lairon,YES,YES,NO
Aggron,NO,NO,NO
Aggron Mega Aggron,NO,NO,NO
Meditite,YES,NO,NO
Medicham,YES,NO,NO
Medicham Mega Medicham,NO,NO,NO
Electrike,YES,NO,NO
Manectric,YES,NO,NO
Manectric Mega Manectric,NO,NO,NO
Plusle,YES,NO,NO
Minun,YES,NO,NO
Volbeat,YES,NO,NO
Illumise,NO,NO,NO
Roselia,YES,NO,NO
Gulpin,YES,NO,NO
Swalot,YES,NO,NO
Carvanha,YES,YES,NO
Sharpedo,YES,NO,NO
Wailmer,YES,YES,NO
Wailord,YES,NO,NO
Numel,YES,YES,NO
Camerupt,NO,NO,NO
Torkoal,NO,NO,NO
Spoink,YES,YES,NO
Grumpig,YES,NO,NO
Spinda,NO,NO,NO
Trapinch,YES,NO,NO
Vibrava,YES,NO,NO
Flygon,YES,NO,NO
Cacnea,YES,YES,NO
Cacturne,NO,NO,NO
Swablu,YES,YES,YES
Altaria,YES,YES,NO
Altaria Mega Altaria,NO,NO,NO
Zangoose,YES,NO,NO
Seviper,YES,NO,NO
Lunatone,YES,NO,NO
Solrock,YES,NO,NO
Barboach,YES,YES,NO
Whiscash,YES,NO,NO
Corphish,YES,NO,NO
Crawdaunt,YES,NO,NO
Baltoy,YES,YES,YES
Claydol,NO,NO,NO
Lileep,YES,YES,NO
Cradily,YES,NO,NO
Anorith,YES,NO,NO
Armaldo,NO,NO,NO
Feebas,NO,NO,NO
Milotic,YES,NO,NO
Castform,YES,NO,NO
Castform Rainy Form,YES,NO,NO
Castform Snowy Form,NO,NO,NO
Castform Sunny Form,YES,NO,NO
Kecleon,YES,NO,NO
Shuppet,YES,YES,NO
Banette,YES,NO,NO
Banette Mega Banette,NO,NO,NO
Duskull,YES,YES,YES
Dusclops,YES,NO,NO
Tropius,NO,NO,NO
Chimecho,YES,NO,NO
Absol,YES,NO,NO
Absol Mega Absol,NO,NO,NO
Wynaut,YES,NO,NO
Snorunt,YES,YES,NO
Glalie,YES,NO,NO
Glalie Mega Glalie,NO,NO,NO
Spheal,YES,NO,NO
Sealeo,YES,NO,NO
Walrein,YES,NO,NO
Clamperl,YES,NO,NO
Huntail,NO,NO,NO
Gorebyss,YES,NO,NO
Relicanth,NO,NO,NO
Luvdisc,YES,NO,NO
Bagon,YES,YES,NO
Shelgon,YES,NO,NO
Salamence,NO,NO,NO
Salamence Mega Salamence,NO,NO,NO
Beldum,YES,YES,NO
Metang,YES,YES,NO
Metagross,YES,NO,NO
Regirock,NO,NO,NO
Regice,NO,NO,NO
Registeel,NO,NO,NO
Latias,NO,NO,NO
Latias Mega Latias,NO,NO,NO
Latios,NO,NO,NO
Latios Mega Latios,NO,NO,NO
Kyogre,NO,NO,NO
Kyogre Primal Kyogre,NO,NO,NO
Groudon,NO,NO,NO
Groudon Primal Groudon,NO,NO,NO
Rayquaza,NO,NO,NO
Rayquaza Mega Rayquaza,NO,NO,NO
Jirachi,NO,NO,NO
Deoxys Normal Form,NO,NO,NO
Deoxys Attack Form,NO,NO,NO
Deoxys Defense Form,NO,NO,NO
Deoxys Speed Form,NO,NO,NO
Turtwig,YES,YES,NO
Grotle,YES,NO,NO
Torterra,NO,NO,NO
Chimchar,YES,NO,NO
Monferno,YES,NO,NO
Infernape,NO,NO,NO
Piplup,YES,YES,NO
Prinplup,YES,NO,NO
Empoleon,NO,NO,NO
Starly,YES,NO,YES
Staravia,YES,NO,NO
Staraptor,YES,NO,NO
Bidoof,YES,YES,YES
Bibarel,YES,NO,NO
Kricketot,NO,NO,NO
Kricketune,YES,NO,NO
Shinx,YES,YES,NO
Luxio,YES,NO,NO
Luxray,NO,NO,NO
Budew,YES,NO,NO
Roserade,NO,NO,NO
Cranidos,YES,YES,NO
Rampardos,YES,NO,NO
Shieldon,YES,NO,NO
Bastiodon,YES,NO,NO
Burmy Plant Cloak,YES,NO,NO
Burmy Sandy Cloak,YES,NO,NO
Burmy Trash Cloak,YES,NO,NO
Wormadam Plant Cloak,NO,NO,NO
Wormadam Sandy Cloak,YES,NO,NO
Wormadam Trash Cloak,YES,NO,NO
Mothim,YES,NO,NO
Combee,YES,NO,NO
Vespiquen,NO,NO,NO
Pachirisu,NO,NO,NO
Buizel,YES,NO,NO
Floatzel,YES,NO,NO
Cherubi,YES,NO,NO
Cherrim Overcast Form,NO,NO,NO
Cherrim Sunshine Form,YES,NO,NO
Shellos West Sea,YES,NO,NO
Shellos East Sea,YES,NO,NO
Gastrodon West Sea,YES,NO,NO
Gastrodon East Sea,YES,NO,NO
Ambipom,NO,NO,NO
Drifloon,YES,NO,NO
Drifblim,YES,NO,NO
Buneary,YES,NO,NO
Lopunny,YES,NO,NO
Lopunny Mega Lopunny,NO,NO,NO
Mismagius,YES,NO,NO
Honchkrow,YES,NO,NO
Glameow,YES,YES,NO
Purugly,YES,NO,NO
Chingling,YES,NO,NO
Stunky,YES,NO,NO
Skuntank,YES,NO,NO
Bronzor,YES,NO,NO
Bronzong,YES,NO,NO
Bonsly,NO,NO,NO
Mime Jr.,NO,NO,NO
Happiny,NO,NO,NO
Chatot,NO,NO,NO
Spiritomb,NO,NO,NO
Gible,YES,NO,NO
Gabite,YES,NO,NO
Garchomp,NO,NO,NO
Garchomp Mega Garchomp,NO,NO,NO
Munchlax,NO,NO,NO
Riolu,YES,NO,NO
Lucario,NO,NO,NO
Hippopotas,YES,YES,NO
Hippowdon,NO,NO,NO
Skorupi,YES,YES,NO
Drapion,YES,YES,NO
Croagunk,YES,NO,NO
Toxicroak,YES,NO,NO
Carnivine,NO,NO,NO
Finneon,YES,NO,NO
Lumineon,YES,NO,NO
Mantyke,NO,NO,NO
Snover,YES,NO,NO
Abomasnow,YES,NO,NO
Abomasnow Mega Abomasnow,NO,NO,NO
Weavile,NO,NO,NO
Magnezone,YES,NO,NO
Lickilicky,YES,NO,NO
Rhyperior,YES,NO,NO
Tangrowth,YES,NO,NO
Electivire,YES,NO,NO
Magmortar,NO,NO,NO
Togekiss,YES,NO,NO
Yanmega,NO,NO,NO
Leafeon,YES,NO,NO
Glaceon,YES,NO,NO
Gliscor,NO,NO,NO
Mamoswine,NO,NO,NO
Porygon-Z,YES,NO,NO
Gallade,NO,NO,NO
Probopass,YES,NO,NO
Dusknoir,YES,NO,NO
Froslass,YES,NO,NO
Rotom Rotom,NO,NO,NO
Rotom Fan Rotom,NO,NO,NO
Rotom Frost Rotom,NO,NO,NO
Rotom Heat Rotom,NO,NO,NO
Rotom Mow Rotom,NO,NO,NO
Rotom Wash Rotom,NO,NO,NO
Uxie,NO,NO,NO
Mesprit,NO,NO,NO
Azelf,NO,NO,NO
Dialga,NO,NO,NO
Dialga Origin Form,NO,NO,NO
Palkia,NO,NO,NO
Palkia Origin Form,NO,NO,NO
Heatran,NO,NO,NO
Regigigas,NO,NO,NO
Giratina Altered Form,NO,NO,NO
Giratina Origin Form,NO,NO,NO
Cresselia,NO,NO,NO
Phione,NO,NO,NO
Manaphy,NO,NO,NO
Darkrai,NO,NO,NO
Shaymin Land Form,NO,NO,NO
Shaymin Sky Form,NO,NO,NO
Arceus,NO,NO,NO
Victini,NO,NO,NO
Snivy,YES,NO,NO
Servine,YES,NO,NO
Serperior,YES,YES,NO
Tepig,YES,NO,NO
Pignite,YES,NO,NO
Emboar,YES,NO,NO
Oshawott,YES,NO,NO
Dewott,YES,NO,NO
Samurott,NO,NO,NO
Samurott Hisuian Form,NO,NO,NO
Patrat,YES,NO,NO
Watchog,YES,NO,NO
Lillipup,YES,NO,NO
Herdier,YES,NO,NO
Stoutland,YES,NO,NO
Purrloin,YES,NO,NO
Liepard,YES,NO,NO
Pansage,YES,NO,NO
Simisage,YES,NO,NO
Pansear,YES,NO,NO
Simisear,NO,NO,NO
Panpour,YES,NO,NO
Simipour,NO,NO,NO
Munna,YES,NO,NO
Musharna,YES,NO,NO
Pidove,YES,YES,NO
Tranquill,YES,NO,NO
Unfezant,YES,NO,NO
Blitzle,YES,YES,NO
Zebstrika,NO,NO,NO
Roggenrola,YES,NO,NO
Boldore,YES,NO,NO
Gigalith,NO,NO,NO
Woobat,YES,NO,NO
Swoobat,YES,NO,NO
Drilbur,YES,YES,NO
Excadrill,YES,NO,NO
Audino,YES,NO,NO
Timburr,YES,NO,NO
Gurdurr,YES,NO,NO
Conkeldurr,YES,NO,NO
Tympole,YES,NO,NO
Palpitoad,YES,NO,NO
Seismitoad,YES,NO,NO
Throh,NO,NO,NO
Sawk,YES,NO,NO
Sewaddle,YES,NO,NO
Swadloon,YES,NO,NO
Leavanny,YES,NO,NO
Venipede,YES,YES,NO
Whirlipede,YES,NO,NO
Scolipede,YES,NO,NO
Cottonee,YES,NO,NO
Whimsicott,YES,NO,NO
Petilil,YES,NO,NO
Lilligant,NO,NO,NO
Basculin Red-Striped Form,NO,NO,NO
Basculin Blue-Striped Form,NO,NO,NO
Basculin White-Striped Form,YES,NO,NO
Sandile,YES,NO,NO
Krokorok,NO,NO,NO
Krookodile,NO,NO,NO
Darumaka,YES,YES,NO
Darumaka Galarian Form,YES,NO,NO
Darmanitan Standard Mode,NO,NO,NO
Darmanitan Zen Mode,NO,NO,NO
Darmanitan Galarian Form Standard Mode,NO,NO,NO
Darmanitan Galarian Form Zen Mode,NO,NO,NO
Maractus,NO,NO,NO
Dwebble,YES,YES,NO
Crustle,YES,NO,NO
Scraggy,YES,NO,NO
Scrafty,YES,NO,NO
Sigilyph,NO,NO,NO
Yamask,YES,NO,NO
Yamask Galarian Form,YES,NO,NO
Cofagrigus,YES,YES,NO
Tirtouga,NO,NO,NO
Carracosta,NO,NO,NO
Archen,YES,NO,NO
Archeops,YES,NO,NO
Trubbish,YES,YES,NO
Garbodor,YES,NO,NO
Zorua,YES,NO,NO
Zoroark,YES,NO,NO
Minccino,YES,NO,NO
Cinccino,NO,NO,NO
Gothita,YES,YES,NO
Gothorita,YES,NO,NO
Gothitelle,YES,NO,NO
Solosis,YES,YES,NO
Duosion,YES,NO,NO
Reuniclus,YES,NO,NO
Ducklett,YES,YES,NO
Swanna,YES,NO,NO
Vanillite,YES,NO,NO
Vanillish,YES,NO,NO
Vanilluxe,NO,NO,NO
Deerling Spring Form,YES,NO,NO
Deerling Summer Form,YES,NO,NO
Deerling Autumn Form,YES,NO,NO
Deerling Winter Form,YES,NO,NO
Sawsbuck Spring Form,YES,NO,NO
Sawsbuck Summer Form,NO,NO,NO
Sawsbuck Autumn Form,NO,NO,NO
Sawsbuck Winter Form,NO,NO,NO
Emolga,NO,NO,NO
Karrablast,YES,NO,NO
Escavalier,YES,NO,NO
Foongus,YES,YES,NO
Amoonguss,YES,NO,NO
Frillish,YES,NO,NO
Jellicent,NO,NO,NO
Alomomola,NO,NO,NO
Joltik,YES,YES,NO
Galvantula,YES,YES,NO
Ferroseed,YES,NO,NO
Ferrothorn,YES,NO,NO
Klink,YES,NO,NO
Klang,YES,NO,NO
Klinklang,NO,NO,NO
Tynamo,YES,NO,NO
Eelektrik,YES,NO,NO
Eelektross,NO,NO,NO
Elgyem,YES,NO,NO
Beheeyem,NO,NO,NO
Litwick,YES,NO,NO
Lampent,YES,NO,NO
Chandelure,YES,NO,NO
Axew,YES,NO,NO
Fraxure,YES,NO,NO
Haxorus,NO,NO,NO
Cubchoo,YES,NO,NO
Beartic,NO,NO,NO
Cryogonal,NO,NO,NO
Shelmet,YES,NO,NO
Accelgor,YES,NO,NO
Stunfisk,YES,NO,NO
Stunfisk Galarian Form,YES,NO,NO
Mienfoo,YES,NO,NO
Mienshao,YES,NO,NO
Druddigon,NO,NO,NO
Golett,YES,YES,NO
Golurk,NO,NO,NO
Pawniard,NO,NO,NO
Bisharp,NO,NO,NO
Bouffalant,NO,NO,NO
Rufflet,YES,NO,NO
Braviary,YES,NO,NO
Braviary Hisuian Form,NO,NO,NO
Vullaby,YES,NO,NO
Mandibuzz,NO,NO,NO
Heatmor,YES,NO,NO
Durant,NO,NO,NO
Deino,YES,YES,NO
Zweilous,YES,NO,NO
Hydreigon,YES,NO,NO
Larvesta,NO,NO,NO
Volcarona,NO,NO,NO
Cobalion,NO,NO,NO
Terrakion,NO,NO,NO
Virizion,NO,NO,NO
Tornadus Incarnate Form,NO,NO,NO
Tornadus Therian Form,NO,NO,NO
Thundurus Incarnate Form,NO,NO,NO
Thundurus Therian Form,NO,NO,NO
Reshiram,NO,NO,NO
Zekrom,NO,NO,NO
Landorus Incarnate Form,NO,NO,NO
Landorus Therian Form,NO,NO,NO
Kyurem,NO,NO,NO
Kyurem Black Kyurem,NO,NO,NO
Kyurem White Kyurem,NO,NO,NO
Keldeo Ordinary Form,NO,NO,NO
Keldeo Resolute Form,NO,NO,NO
Meloetta Aria Form,NO,NO,NO
Meloetta Pirouette Form,NO,NO,NO
Genesect,NO,NO,NO
Chespin,YES,NO,NO
Quilladin,NO,NO,NO
Chesnaught,NO,NO,NO
Fennekin,YES,YES,NO
Braixen,YES,NO,NO
Delphox,YES,NO,NO
Froakie,YES,NO,NO
Frogadier,YES,NO,NO
Greninja,YES,NO,NO
Bunnelby,YES,YES,YES
Diggersby,YES,NO,NO
Fletchling,YES,NO,NO
Fletchinder,YES,NO,NO
Talonflame,YES,NO,NO
Scatterbug,YES,NO,NO
Spewpa,YES,NO,NO
Vivillon,NO,NO,NO
Litleo,YES,NO,NO
Pyroar,NO,NO,NO
Flabebe,NO,NO,NO
Floette,NO,NO,NO
Florges,NO,NO,NO
Skiddo,YES,NO,NO
Gogoat,NO,NO,NO
Pancham,YES,NO,NO
Pangoro,NO,NO,NO
Furfrou,YES,NO,NO
Espurr,YES,NO,NO
Meowstic Male,NO,NO,NO
Meowstic Female,NO,NO,NO
Honedge,NO,NO,NO
Doublade,NO,NO,NO
Aegislash Shield Form,NO,NO,NO
Aegislash Blade Form,NO,NO,NO
Spritzee,YES,NO,NO
Aromatisse,YES,NO,NO
Swirlix,YES,NO,NO
Slurpuff,YES,NO,NO
Inkay,YES,NO,NO
Malamar,YES,NO,NO
Binacle,YES,NO,NO
Barbaracle,NO,NO,NO
Skrelp,YES,NO,NO
Dragalge,NO,NO,NO
Clauncher,YES,NO,NO
Clawitzer,YES,NO,NO
Helioptile,YES,NO,NO
Heliolisk,YES,NO,NO
Tyrunt,YES,NO,NO
Tyrantrum,YES,NO,NO
Amaura,YES,NO,NO
Aurorus,YES,NO,NO
Sylveon,YES,NO,NO
Hawlucha,NO,NO,NO
Dedenne,YES,NO,NO
Carbink,NO,NO,NO
Goomy,YES,NO,NO
Sliggoo,YES,NO,NO
Goodra,YES,NO,NO
Klefki,YES,NO,NO
Phantump,YES,YES,NO
Trevenant,YES,NO,NO
Pumpkaboo Small Variety,YES,NO,NO
Pumpkaboo Medium Variety,YES,NO,NO
Pumpkaboo Large Variety,YES,NO,NO
Pumpkaboo Jumbo Variety,YES,NO,NO
Gourgeist Small Variety,YES,NO,NO
Gourgeist Medium Variety,YES,NO,NO
Gourgeist Large Variety,YES,NO,NO
Gourgeist Jumbo Variety,YES,NO,NO
Bergmite,YES,NO,NO
Avalugg,YES,NO,NO
Avalugg Hisuian Form,NO,NO,NO
Noibat,YES,NO,NO
Noivern,YES,NO,NO
Xerneas,NO,NO,NO
Yveltal,NO,NO,NO
Zygarde 50% Form,NO,NO,NO
Zygarde 10% Form,NO,NO,NO
Zygarde Complete Form,NO,NO,NO
Diancie,NO,NO,NO
Diancie Mega Diancie,NO,NO,NO
Hoopa Hoopa Confined,NO,NO,NO
Hoopa Hoopa Unbound,NO,NO,NO
Volcanion,NO,NO,NO
Rowlet,YES,NO,NO
Dartrix,YES,NO,NO
Decidueye,YES,NO,NO
Decidueye Hisuian Form,NO,NO,NO
Litten,YES,NO,NO
Torracat,YES,NO,NO
Incineroar,NO,NO,NO
Popplio,YES,NO,NO
Brionne,YES,NO,NO
Primarina,YES,NO,NO
Pikipek,YES,NO,NO
Trumbeak,YES,NO,NO
